filename			predicted_class
----------------------------------------
helicopter_0049.jpg			helicopter
helicopter_0048.jpg			helicopter
helicopter_0058.jpg			helicopter
helicopter_0059.jpg			helicopter
helicopter_0016.jpg			helicopter
helicopter_0002.jpg			helicopter
helicopter_0003.jpg			helicopter
helicopter_0017.jpg			helicopter
helicopter_0001.jpg			helicopter
helicopter_0015.jpg			helicopter
helicopter_0029.jpg			helicopter
helicopter_0028.jpg			helicopter
helicopter_0014.jpg			helicopter
helicopter_0038.jpg			helicopter
helicopter_0004.jpg			helicopter
helicopter_0010.jpg			helicopter
helicopter_0011.jpg			helicopter
helicopter_0005.jpg			helicopter
helicopter_0039.jpg			helicopter
helicopter_0013.jpg			blimp
helicopter_0007.jpg			helicopter
helicopter_0006.jpg			helicopter
helicopter_0012.jpg			helicopter
helicopter_0037.jpg			helicopter
helicopter_0023.jpg			helicopter
helicopter_0022.jpg			helicopter
helicopter_0036.jpg			helicopter
helicopter_0020.jpg			helicopter
helicopter_0034.jpg			helicopter
helicopter_0008.jpg			helicopter
helicopter_0009.jpg			helicopter
helicopter_0035.jpg			helicopter
helicopter_0021.jpg			helicopter
helicopter_0019.jpg			helicopter
helicopter_0025.jpg			helicopter
helicopter_0031.jpg			helicopter
helicopter_0030.jpg			helicopter
helicopter_0024.jpg			helicopter
helicopter_0018.jpg			helicopter
helicopter_0032.jpg			helicopter
helicopter_0026.jpg			helicopter
helicopter_0027.jpg			helicopter
helicopter_0033.jpg			helicopter
helicopter_0054.jpg			gorilla
helicopter_0040.jpg			helicopter
helicopter_0041.jpg			helicopter
helicopter_0055.jpg			helicopter
helicopter_0043.jpg			helicopter
helicopter_0057.jpg			helicopter
helicopter_0056.jpg			helicopter
helicopter_0042.jpg			comet
helicopter_0046.jpg			helicopter
helicopter_0052.jpg			helicopter
helicopter_0053.jpg			helicopter
helicopter_0047.jpg			helicopter
helicopter_0051.jpg			hot-air-balloon
helicopter_0045.jpg			helicopter
helicopter_0044.jpg			helicopter
helicopter_0050.jpg			helicopter
